activation_scale,energy_scope,excluded,baseline_checkpoint,cmm_crosssim_checkpoint,crosssim_only_checkpoint,vread_v,pulse_ns,sample_limit,processed_images,crosssim_only_processed_images,activation_vectors_per_tile,token_vectors_seen_per_layer_sum,crosssim_only_token_vectors_seen_per_layer_sum,r_on_ohm,r_off_ohm,tile_shape,adc_resolution,dac_resolution,read_noise_std,write_noise_std,digital_reference_scope,digital_mac_energy_pj,digital_mac_model,tile_rank,tile_id,layer_name,group,polarity,core_row,core_col,row_start,row_end,col_start,col_end,g_raw_min,g_raw_max,g_raw_mean,r_min_ohm,r_max_ohm,r_mean_ohm,tile_total_energy_j,tile_total_read_current_a,tile_mean_vector_power_w,tile_mean_vector_read_current_a,vector_count,nonzero_vector_count
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,output_proj|r44c0|pos,output_proj,output_proj,pos,44,0,5588,5715,0,128,0.009999999776482582,0.685066282749176,0.06932314391703735,1453.032990029775,50251.25684018647,30989.207697063182,2.543778022355061e-08,64.77719816889201,0.0011690156352734678,0.02976893298202758,2176,2176
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,output_proj|r44c1|neg,output_proj,output_proj,neg,44,1,5588,5715,128,256,0.009999999776482582,0.5649088621139526,0.06617410559596551,1756.667248529243,50251.25684018647,31182.63335535395,2.6802000767545212e-08,64.57271971103924,0.0012317095940967502,0.02967496310249965,2176,2176
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,output_proj|r44c1|pos,output_proj,output_proj,pos,44,1,5588,5715,128,256,0.009999999776482582,0.7717631459236145,0.07102413650938515,1291.913694108772,50251.25684018647,31170.53669753592,2.8881968404439935e-08,69.14371504454434,0.0013272963421158072,0.031775604340323685,2176,2176
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,output_proj|r45c0|neg,output_proj,output_proj,neg,45,0,5715,5842,0,128,0.009999999776482582,0.70242840051651,0.06880516852450412,1417.6271113154428,50251.25684018647,31428.68166741104,2.9811646099487364e-08,69.13702860431657,0.0013700205008955568,0.031772531527719014,2176,2176
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,output_proj|r45c0|pos,output_proj,output_proj,pos,45,0,5715,5842,0,128,0.009999999776482582,0.7252244353294373,0.06979747180817567,1373.6788470711954,50251.25684018647,30943.108452977864,2.5586545171497838e-08,65.1480645238957,0.0011758522597195694,0.029939367887819715,2176,2176
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,output_proj|r45c1|neg,output_proj,output_proj,neg,45,1,5715,5842,128,256,0.009999999776482582,0.6360909342765808,0.06669404911687213,1563.159396971336,50251.25684018647,31069.30600717989,2.7160563577177654e-08,65.18954870346163,0.0012481876643923564,0.029958432308576116,2176,2176
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,output_proj|r45c1|pos,output_proj,output_proj,pos,45,1,5715,5842,128,256,0.009999999776482582,0.7133048176765442,0.07029434025781935,1396.3130670432113,50251.25684018647,31342.507275034306,2.865770393113969e-08,68.55813380374538,0.0013169900703648727,0.03150649531422122,2176,2176
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,output_proj|r46c0|neg,output_proj,output_proj,neg,46,0,5842,5969,0,128,0.009999999776482582,0.6889809966087341,0.06945612012619734,1444.8963074519518,50251.25684018647,31256.76445014645,3.012105532707164e-08,69.78792637544798,0.0013842396749573342,0.03207165734165808,2176,2176
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,output_proj|r46c0|pos,output_proj,output_proj,pos,46,0,5842,5969,0,128,0.009999999776482582,0.6944486498832703,0.06982902189481574,1433.683198603129,50251.25684018647,30970.24244062252,2.55836754886649e-08,65.15993399695562,0.0011757203809129087,0.029944822608895045,2176,2176
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,output_proj|r46c1|neg,output_proj,output_proj,neg,46,1,5842,5969,128,256,0.009999999776482582,0.6713711619377136,0.06615843100494596,1482.2336869297908,50251.25684018647,31249.660403417394,2.686139130701233e-08,64.62180882797479,0.0012344389387413796,0.02969752243932665,2176,2176
