layer,group,count,min,max,std,p99_abs,p99.9_abs,clip_rate_abs_gt_1,adaptive_absmax
layers.0.cross_attn.k_proj,cross_attn,12544,-9.554755210876465,10.021261215209961,1.257408364540314,4.52173376083374,6.976864337921143,0.27774234693877553,10.021261215209961
layers.0.cross_attn.o_proj,cross_attn,2816,-2.4450953006744385,3.3071062564849854,0.38147744893471136,1.616544485092163,2.611377239227295,0.03160511363636364,3.3071062564849854
layers.0.cross_attn.q_proj,cross_attn,2816,-4.981715202331543,4.18916654586792,1.039119547056935,2.7700750827789307,3.8904809951782227,0.3220880681818182,4.981715202331543
layers.0.cross_attn.v_proj,cross_attn,12544,-9.554755210876465,10.021261215209961,1.257408364540314,4.52173376083374,6.976864337921143,0.27774234693877553,10.021261215209961
layers.0.ffn.0,ffn,2816,-5.6144633293151855,5.370755195617676,1.0369083480833559,2.8818554878234863,4.686218738555908,0.3156960227272727,5.6144633293151855
layers.0.ffn.3,ffn,11264,0.0,9.444518089294434,0.3054274280189368,1.4045976400375366,2.5665647983551025,0.02130681818181818,9.444518089294434
layers.0.self_attn.k_proj,self_attn,2816,-59.04148483276367,53.80685806274414,15.536770506365428,41.14255905151367,53.94540786743164,0.94140625,59.04148483276367
layers.0.self_attn.o_proj,self_attn,2816,-24.063547134399414,25.01056480407715,5.777539648683261,18.506988525390625,23.096824645996094,0.8245738636363636,25.01056480407715
layers.0.self_attn.q_proj,self_attn,2816,-59.04148483276367,53.80685806274414,15.536770506365428,41.14255905151367,53.94540786743164,0.94140625,59.04148483276367
layers.0.self_attn.v_proj,self_attn,2816,-59.04148483276367,53.80685806274414,15.536770506365428,41.14255905151367,53.94540786743164,0.94140625,59.04148483276367
layers.1.cross_attn.k_proj,cross_attn,12544,-9.554755210876465,10.021261215209961,1.257408364540314,4.52173376083374,6.976864337921143,0.27774234693877553,10.021261215209961
layers.1.cross_attn.o_proj,cross_attn,2816,-2.3994102478027344,2.13249135017395,0.4385702672901061,1.3911712169647217,1.9254825115203857,0.036931818181818184,2.3994102478027344
layers.1.cross_attn.q_proj,cross_attn,2816,-6.4797868728637695,4.485929489135742,0.8945838210893483,2.54598331451416,3.8215017318725586,0.2372159090909091,6.4797868728637695
layers.1.cross_attn.v_proj,cross_attn,12544,-9.554755210876465,10.021261215209961,1.257408364540314,4.52173376083374,6.976864337921143,0.27774234693877553,10.021261215209961
layers.1.ffn.0,ffn,2816,-6.499728679656982,5.059691429138184,1.0125178080535,2.7227392196655273,4.463502407073975,0.3064630681818182,6.499728679656982
layers.1.ffn.3,ffn,11264,0.0,2.829267740249634,0.2158655634300898,1.1515357494354248,1.901081919670105,0.014914772727272728,2.829267740249634
layers.1.self_attn.k_proj,self_attn,2816,-8.52197265625,8.403999328613281,0.9191090960218847,2.6551835536956787,6.14382791519165,0.22336647727272727,8.52197265625
layers.1.self_attn.o_proj,self_attn,2816,-2.7874808311462402,2.3506619930267334,0.4919292205387364,1.4978121519088745,2.185513973236084,0.052911931818181816,2.7874808311462402
layers.1.self_attn.q_proj,self_attn,2816,-8.52197265625,8.403999328613281,0.9191090960218847,2.6551835536956787,6.14382791519165,0.22336647727272727,8.52197265625
layers.1.self_attn.v_proj,self_attn,2816,-8.52197265625,8.403999328613281,0.9191090960218847,2.6551835536956787,6.14382791519165,0.22336647727272727,8.52197265625
output_proj,output_proj,2816,-11.15447998046875,11.191506385803223,1.9820910274607728,5.373750686645508,9.641308784484863,0.5965909090909091,11.191506385803223
