time_s,power_w
0.0,0.0
5e-13,0.0
1e-12,9.696e-08
2e-12,3.8784e-07
4e-12,1.55136e-06
8e-12,8.27392e-06
1.6e-11,3.309568e-05
3.2e-11,0.00013238272
6.4e-11,0.00052953088
1e-10,0.0012928
1.05e-10,0.0012928
1.15e-10,0.0012928
1.35e-10,0.0012928
1.75e-10,0.0012928
2.25e-10,0.0012928
2.75e-10,0.0012928
3.25e-10,0.0012928
3.75e-10,0.0012928
4.25e-10,0.0012928
4.75e-10,0.0012928
5.25e-10,0.0012928
5.75e-10,0.0012928
6.25e-10,0.0012928
6.75e-10,0.0012928
7.25e-10,0.0012928
7.75e-10,0.0012928
8.25e-10,0.0012928
8.75e-10,0.0012928
9.25e-10,0.0012928
9.75e-10,0.0012928
1.025e-09,0.0012928
1.075e-09,0.0012928
1.125e-09,0.0012928
1.175e-09,0.0012928
1.225e-09,0.0012928
1.275e-09,0.0012928
1.325e-09,0.0012928
1.375e-09,0.0012928
1.425e-09,0.0012928
1.475e-09,0.0012928
1.525e-09,0.0012928
1.575e-09,0.0012928
1.625e-09,0.0012928
1.675e-09,0.0012928
1.725e-09,0.0012928
1.775e-09,0.0012928
1.825e-09,0.0012928
1.875e-09,0.0012928
1.925e-09,0.0012928
1.975e-09,0.0012928
2.025e-09,0.0012928
2.075e-09,0.0012928
2.125e-09,0.0012928
2.175e-09,0.0012928
2.225e-09,0.0012928
2.275e-09,0.0012928
2.325e-09,0.0012928
2.375e-09,0.0012928
2.425e-09,0.0012928
2.475e-09,0.0012928
2.525e-09,0.0012928
2.575e-09,0.0012928
2.625e-09,0.0012928
2.675e-09,0.0012928
2.725e-09,0.0012928
2.775e-09,0.0012928
2.825e-09,0.0012928
2.875e-09,0.0012928
2.925e-09,0.0012928
2.975e-09,0.0012928
3.025e-09,0.0012928
3.075e-09,0.0012928
3.125e-09,0.0012928
3.175e-09,0.0012928
3.225e-09,0.0012928
3.275e-09,0.0012928
3.325e-09,0.0012928
3.375e-09,0.0012928
3.425e-09,0.0012928
3.475e-09,0.0012928
3.525e-09,0.0012928
3.575e-09,0.0012928
3.625e-09,0.0012928
3.675e-09,0.0012928
3.725e-09,0.0012928
3.775e-09,0.0012928
3.825e-09,0.0012928
3.875e-09,0.0012928
3.925e-09,0.0012928
3.975e-09,0.0012928
4.025e-09,0.0012928
4.075e-09,0.0012928
4.125e-09,0.0012928
4.175e-09,0.0012928
4.225e-09,0.0012928
4.275e-09,0.0012928
4.325e-09,0.0012928
4.375e-09,0.0012928
4.425e-09,0.0012928
4.475e-09,0.0012928
4.525e-09,0.0012928
4.575e-09,0.0012928
4.625e-09,0.0012928
4.675e-09,0.0012928
4.725e-09,0.0012928
4.775e-09,0.0012928
4.825e-09,0.0012928
4.875e-09,0.0012928
4.925e-09,0.0012928
4.975e-09,0.0012928
5.025e-09,0.0012928
5.075e-09,0.0012928
5.125e-09,0.0012928
5.175e-09,0.0012928
5.225e-09,0.0012928
5.275e-09,0.0012928
5.325e-09,0.0012928
5.375e-09,0.0012928
5.425e-09,0.0012928
5.475e-09,0.0012928
5.525e-09,0.0012928
5.575e-09,0.0012928
5.625e-09,0.0012928
5.675e-09,0.0012928
5.725e-09,0.0012928
5.775e-09,0.0012928
5.825e-09,0.0012928
5.875e-09,0.0012928
5.925e-09,0.0012928
5.975e-09,0.0012928
6.025e-09,0.0012928
6.075e-09,0.0012928
6.125e-09,0.0012928
6.175e-09,0.0012928
6.225e-09,0.0012928
6.275e-09,0.0012928
6.325e-09,0.0012928
6.375e-09,0.0012928
6.425e-09,0.0012928
6.475e-09,0.0012928
6.525e-09,0.0012928
6.575e-09,0.0012928
6.625e-09,0.0012928
6.675e-09,0.0012928
6.725e-09,0.0012928
6.775e-09,0.0012928
6.825e-09,0.0012928
6.875e-09,0.0012928
6.925e-09,0.0012928
6.975e-09,0.0012928
7.025e-09,0.0012928
7.075e-09,0.0012928
7.125e-09,0.0012928
7.175e-09,0.0012928
7.225e-09,0.0012928
7.275e-09,0.0012928
7.325e-09,0.0012928
7.375e-09,0.0012928
7.425e-09,0.0012928
7.475e-09,0.0012928
7.525e-09,0.0012928
7.575e-09,0.0012928
7.625e-09,0.0012928
7.675e-09,0.0012928
7.725e-09,0.0012928
7.775e-09,0.0012928
7.825e-09,0.0012928
7.875e-09,0.0012928
7.925e-09,0.0012928
7.975e-09,0.0012928
8.025e-09,0.0012928
8.075e-09,0.0012928
8.125e-09,0.0012928
8.175e-09,0.0012928
8.225e-09,0.0012928
8.275e-09,0.0012928
8.325e-09,0.0012928
8.375e-09,0.0012928
8.425e-09,0.0012928
8.475e-09,0.0012928
8.525e-09,0.0012928
8.575e-09,0.0012928
8.625e-09,0.0012928
8.675e-09,0.0012928
8.725e-09,0.0012928
8.775e-09,0.0012928
8.825e-09,0.0012928
8.875e-09,0.0012928
8.925e-09,0.0012928
8.975e-09,0.0012928
9.025e-09,0.0012928
9.075e-09,0.0012928
9.125e-09,0.0012928
9.175e-09,0.0012928
9.225e-09,0.0012928
9.275e-09,0.0012928
9.325e-09,0.0012928
9.375e-09,0.0012928
9.425e-09,0.0012928
9.475e-09,0.0012928
9.525e-09,0.0012928
9.575e-09,0.0012928
9.625e-09,0.0012928
9.675e-09,0.0012928
9.725e-09,0.0012928
9.775e-09,0.0012928
9.825e-09,0.0012928
9.875e-09,0.0012928
9.925e-09,0.0012928
9.975e-09,0.0012928
1.0025e-08,0.0012928
1.00625e-08,0.0012928
1.01e-08,0.0012928
1.0105e-08,0.001166752
1.0115e-08,0.000934048
1.0135e-08,0.000546208
1.01675e-08,0.000136552
1.02e-08,0.0
