layer,group,count,min,max,std,p99_abs,p99.9_abs,clip_rate_abs_gt_1,adaptive_absmax
layers.0.cross_attn.k_proj,cross_attn,5017600,-17.059249877929688,20.6574649810791,1.448929409646311,4.996967792510986,8.110289573669434,0.3449302455357143,20.6574649810791
layers.0.cross_attn.o_proj,cross_attn,1497088,-9.123954772949219,9.689882278442383,0.41668138115506265,1.5029631853103638,3.3868207931518555,0.02690890582250342,9.689882278442383
layers.0.cross_attn.q_proj,cross_attn,1497088,-4.981715679168701,4.736164093017578,1.037019349931386,2.743102788925171,3.811058282852173,0.3278117251624487,4.981715679168701
layers.0.cross_attn.v_proj,cross_attn,5017600,-17.059249877929688,20.6574649810791,1.448929409646311,4.996967792510986,8.110289573669434,0.3449302455357143,20.6574649810791
layers.0.ffn.0,ffn,1497088,-6.0963850021362305,5.996869087219238,1.0273866654226442,2.7439451217651367,4.139272212982178,0.3181215800273598,6.0963850021362305
layers.0.ffn.3,ffn,5988352,0.0,10.267325401306152,0.328219653310062,1.5284074544906616,2.7462997436523438,0.028551260847725718,10.267325401306152
layers.0.self_attn.k_proj,self_attn,1497088,-67.63506317138672,77.4368896484375,14.090826484759871,40.359153747558594,51.77571487426758,0.8501096795913132,77.4368896484375
layers.0.self_attn.o_proj,self_attn,1497088,-42.456302642822266,51.6447639465332,6.152915771641285,19.02430534362793,27.024673461914062,0.8286593707250342,51.6447639465332
layers.0.self_attn.q_proj,self_attn,1497088,-67.63506317138672,77.4368896484375,14.090826484759871,40.359153747558594,51.77571487426758,0.8501096795913132,77.4368896484375
layers.0.self_attn.v_proj,self_attn,1497088,-67.63506317138672,77.4368896484375,14.090826484759871,40.359153747558594,51.77571487426758,0.8501096795913132,77.4368896484375
layers.1.cross_attn.k_proj,cross_attn,5017600,-17.059249877929688,20.6574649810791,1.448929409646311,4.996967792510986,8.110289573669434,0.3449302455357143,20.6574649810791
layers.1.cross_attn.o_proj,cross_attn,1497088,-9.099430084228516,10.997716903686523,0.5244991981930417,1.727535605430603,3.5739657878875732,0.05172241043946649,10.997716903686523
layers.1.cross_attn.q_proj,cross_attn,1497088,-6.734003067016602,6.452779293060303,0.9109363911908519,2.5042459964752197,3.81072998046875,0.25252022593194257,6.734003067016602
layers.1.cross_attn.v_proj,cross_attn,5017600,-17.059249877929688,20.6574649810791,1.448929409646311,4.996967792510986,8.110289573669434,0.3449302455357143,20.6574649810791
layers.1.ffn.0,ffn,1497088,-7.801459789276123,7.585977077484131,1.0067327122285636,2.7242658138275146,4.085568904876709,0.3045572471357729,7.801459789276123
layers.1.ffn.3,ffn,5988352,0.0,4.66405725479126,0.257974889520153,1.327697992324829,2.1927435398101807,0.021541819852941176,4.66405725479126
layers.1.self_attn.k_proj,self_attn,1497088,-8.637840270996094,8.837896347045898,0.9257458072826571,2.566028356552124,5.353082180023193,0.2442962604736662,8.837896347045898
layers.1.self_attn.o_proj,self_attn,1497088,-3.9954640865325928,3.832200527191162,0.5005966064041145,1.5300915241241455,2.2868995666503906,0.053175898811559506,3.9954640865325928
layers.1.self_attn.q_proj,self_attn,1497088,-8.637840270996094,8.837896347045898,0.9257458072826571,2.566028356552124,5.353082180023193,0.2442962604736662,8.837896347045898
layers.1.self_attn.v_proj,self_attn,1497088,-8.637840270996094,8.837896347045898,0.9257458072826571,2.566028356552124,5.353082180023193,0.2442962604736662,8.837896347045898
output_proj,output_proj,1497088,-15.356046676635742,16.009119033813477,1.987976466542767,5.490900993347168,8.707571983337402,0.5968373268638851,16.009119033813477
